questions,classes
"What does the word camaro mean , from the ORG car the PERSON ?",DESC
Who replaced PERSON as the host of ORG ?,HUM
How many boys play the game in PERSON DATE painting Snap the Whip ?,NUM
What is FAC ?,DESC
When are sheep shorn ?,NUM
What sport is PERSON a top player of ?,ENTY
What 's the ORDINAL-largest island in the world ?,LOC
What is the definition of low island ?,DESC
What century does ORG live in ?,NUM
What types of water pollution are there ?,ENTY
How many astronauts manned each ORG flight ?,NUM
What soft drink would provide me with the biggest intake of caffeine ?,ENTY
What 's the name of a golf course in GPE ?,ENTY
What are some of the significant historical events of DATE ?,ENTY
Name the only extant trilogy of classical NORP plays .,ENTY
Where is FAC ?,LOC
What is the difference between Neoclassical art and Romanticism art ?,DESC
Who was the ORDINAL person inducted into ORG ?,HUM
What golfer has been called ORG and GPE ?,HUM
Who murdered PERSON and Rosemary LaBianca on DATE,HUM
What is the average cost for DATE of medical school ?,NUM
What does God create in the ORDINAL sentence of the WORK_OF_ART ?,ENTY
Which of the following men was not married to PERSON ?,HUM
What is the current ticket fare from from GPE to Barbados ?,NUM
What does NN O `` mean when used as a prefix in NORP surnames ?,ABBR
How do you find oxidation numbers ?,DESC
What is the state nickname of GPE ?,LOC
"What is GPE , South Dakota most famous for ?",DESC
What DATE boob tube bomb took astronauts back to prehistoric times ?,ENTY
How many students attend ORG ?,NUM
"Who said , `` I shall return . '' during EVENT ?",HUM
What holidays are celebrated in GPE ?,ENTY
"Who portrayed PERSON , companion to Butch Cassidey and the Sundance Kid ?",HUM
What are the NORP numerals ?,DESC
What 's the name of the temple that is located near the capital city of GPE ?,LOC
What is a fear of sleep ?,ENTY
What auto race was PERSON the ORDINAL to win CARDINAL times ?,ENTY
What are the most common breeding birds in the GPE ?,ENTY
"What was organized as a ORG veterans ' social club in GPE , in Tennessee , in DATE ?",ENTY
How do you look up criminal records on the Internet ?,DESC
"Where is the actress , ORG , buried ?",LOC
What is an example of an actual case of using LAW ?,DESC
Who was the PERSON perfume woman ?,HUM
Who portrayed `` PERSON on the television show `` WORK_OF_ART ?,HUM
"What singer became despondent over the death of ORG , quit show business , and then quit the business ?",HUM
When did NORP troops invade GPE ?,NUM
What was PERSON referring to when he said : `` I still can 't believe it- we beat the NORP ? '',ENTY
What car was driven in the CARDINAL release of `` WORK_OF_ART and the ORG '' ?,ENTY
What was the backup singing group for PERSON ?,HUM
What famous singing cowboy owns ORG baseball team ?,HUM
What DATE film was the ORDINAL to gross MONEY ?,ENTY
Where did the term `` 86 '' come from ?,DESC
What causes someone to be ticklish ?,DESC
What is the probability that CARDINAL out of 25 people will have the same birthday ?,NUM
How many NORP emmigrate DATE ?,NUM
Why did several GPE schools remove apples from students menus ?,DESC
What musical instrument did PERSON play ?,ENTY
Who was PERSON vice president ?,HUM
What is `` the washed vodka '' ?,DESC
How many different languages are spoken in LOC ?,NUM
What year was PERSON awarded WORK_OF_ART ?,NUM
What 's a `` WORK_OF_ART better known as ?,ENTY
Who invented batteries ?,HUM
Why do recipe books recommend starting with cold water when you boil something ?,DESC
Where can I buy a good snowboard for MONEY ?,LOC
What title did PERSON assume for DATE ?,HUM
What was the infamous pseudonym of PERSON ?,HUM
What is Smokey The ORG 's middle name ?,ENTY
What is PERSON occupation ?,HUM
What NORP TV series featured PERSON ?,ENTY
What GPE street is the home of NORP journalism ?,LOC
What tragedy befell the city of GPE in DATE ?,ENTY
What is ORG ?,DESC
What are the names of all the ORG aircraft carriers ?,ENTY
What format was ORG 's main competition ?,ENTY
What is EVENT ?,DESC
In what city is the famed GPE Square ?,LOC
What does ORG call an `` inoperative statement '' ?,ENTY
How much did the minimum wage amount to in DATE ?,NUM
Where is ORG ?,LOC
What is a pyrotechnic display ?,DESC
How do I find out about jobs ?,DESC
What NORP manufacturer is known for both its pianos and its motorcycles ?,HUM
What is the chemical reactivity of ORG ?,NUM
How many engines does a ORG PRODUCT have ?,NUM
What is the origin of the term `` WORK_OF_ART in bowling ?,DESC
What is a fear of being cold ?,ENTY
How long was PERSON 's DATE ?,NUM
What net game sees its women 's world amateur champions receive EVENT ?,ENTY
What CARDINAL-legged creature did a ORG study say would make man 's best companion in space ?,ENTY
What does a teaspoon of matter weigh in a black hole ?,NUM
"What did NORP companies stick CARDINAL , QUANTITY of tea into in DATE ?",ENTY
What province is PERSON located in ?,LOC
How can I find out how much income tax is paid on ORG income on the DATE income tax ?,DESC
Who did PERSON succeed as world heavyweight boxing champion ?,HUM
What is GPE 's state bird ?,ENTY
What is PERSON real birthday ?,NUM
Name the various super-teams to which the ORG has belonged .,HUM
How does PERSON perform her magic in GPE comics ?,DESC
What 's the name of PERSON research ship ?,ENTY
What President dispatched a cruiser to carry PERSON home after his epic flight ?,HUM
Whose video is titled Shape Up with PERSON ?,HUM
In which PERSON movie did Sioux Indians play a role ?,ENTY
How many PERSON novels are there ?,NUM
How do you get dates with PRODUCT girls ?,DESC
What bird can swim but can 't fly ?,ENTY
How can I get a comic character I made copyrighted and published ?,DESC
How large is LOC to preserve unique wildlife and wilderness value on GPE 's north coast ?,NUM
What is Plc ?,DESC
How much electricity does the brain need to work ?,NUM
How many acres in QUANTITY ?,NUM
What PERSON novel has David carrying the message `` Barkis is willin '' to Peggy ?,ENTY
What is a hyperlink ?,DESC
Who 's the twin brother of the NORP goddess ORG ?,HUM
Where did PERSON come from ?,DESC
"What is the per-capita income of GPE , LOC , ?",NUM
What novel has Big Brother watching ?,ENTY
How many GPE did PERSON win in DATE ?,NUM
What does Elysium mean ?,DESC
What is the oldest website on the Internet ?,LOC
What is Shalom ?,DESC
What was the favorite sport of PERSON ORG ?,ENTY
What organic fuel do bog-dwellers use a `` slane '' to cut ?,ENTY
What is the average age of a member of the team that worked on ORG ?,NUM
What country received all WORK_OF_ART awarded in DATE ?,LOC
How do you get rid on woodpeckers ?,DESC
How many syllables are there in a line of hendecasyllabic poetry ?,NUM
"What soft drink ORDINAL appeared in ORG in GPE , Texas , in DATE ?",ENTY
What is GPE 's possession on the NORP mainland ?,LOC
Who was GPE 's first Public Enemy No. CARDINAL ?,HUM
How many children DATE are victims of some sort of Physical Abuse each year ?,NUM
What is the origin of thank you notes ?,DESC
What did PERSON invent ?,ENTY
What generation am I in ?,ENTY
What is a fear of hell ?,ENTY
Who is PERSON ?,HUM
"Who lives at 24 GPE , Ottawa ?",HUM
What is PERSON-O made from ?,ENTY
Who was PERSON ?,HUM
What are the CARDINAL states that incorporate the ORG battle flag in their flags ?,LOC
How do you make panoramic sugar eggs for ORG ones with the scene inside ?,DESC
What 's the NORP dish made of pigs ' small intestines ?,ENTY
Where is GPE ?,LOC
Who was the famous door-to-door brush salesman ?,HUM
What is the executor in a will ?,DESC
What inescapable purveyor of background music celebrated its ORDINAL anniversary in DATE ?,HUM
How many people in GPE snore ?,NUM
Who is always trying to get the rent from PERSON ?,HUM
What soft drink is most heavily caffeinated ?,ENTY
Who did PERSON commission to write WORK_OF_ART ?,HUM
Which drug is commonly used to treat AIDS ?,ENTY
How many stars are there on GPE flag ?,NUM
What is the difference between microprocessors & microcontrollers ?,DESC
Who sought to create FAC ?,HUM
What are tourist attractions in ORG ?,LOC
What are the lengths of pearl necklaces ?,NUM
Who said : `` WORK_OF_ART win the battles and generals get the credit '' ?,HUM
What is the proof that houseplants metabolize carcinogens ?,DESC
What prompted the co-pilot of ORG to enter only `` My God '' in his log ?,DESC
How long does it take the typical hen to lay CARDINAL eggs ?,NUM
What GPE city owns its own glacier ?,LOC
What is the history of `` the toast '' ?,DESC
What was the name of the NORP revolt against the supremacy of the Pope ?,ENTY
What is an NORP strap ?,DESC
"How much does it cost , average or whatever is available , to produce and send junk mail catalogues in the GPE ? , ORG CD NN NN ,",NUM
Who is the current ORG Secretary General ?,HUM
"Who provides telephone service in GPE , California ?",HUM
Where did guinea pigs originate ?,LOC
What CARDINAL countries ' coastlines border LOC ?,LOC
Why did NORP shave their eyebrows ?,DESC
What organization did Mr. PERSON assign agents for ?,HUM
When was the slinky invented ?,NUM
What are the characters ' names in ORG cartoon ?,HUM
What is a fear of cold ?,ENTY
What was PERSON job in GPE ?,HUM
What causes rust ?,DESC
Which is the only PERSON villain to appear CARDINAL times ?,HUM
What was the monster in PERSON 's film `` Jaws '' ?,ENTY
What color is an LOC fox in DATE ?,ENTY
"What do the names PERSON , Mary , and Anthony mean ?",DESC
"What NORP capital celebrated its CARDINAL , 000th anniversary in DATE ?",LOC
Why do people in the upper peninsula of ORG say `` eh ? '' ?,DESC
What flower did PERSON paint ?,ENTY
What country was the setting of You Only Live Twice ?,LOC
What was PERSON 's approval rating after DATE in power ?,NUM
Winnie the ORG is what kind of animal ?,ENTY
"What was the ORDINAL ORG , NORP group , success ?",DESC
What is a handheld PC ?,DESC
What did PERSON do to impress Jodie Foster ?,DESC
What is PERSON job ?,HUM
How many calories are in a tomato ?,NUM
In what state was the ORDINAL co-educational college established,LOC
What war saw a naval battle between the luxury liners PERSON and the GPE ?,ENTY
What is the treatment for depression ?,ENTY
What is a fear of slime ?,ENTY
What country in LOC is the largest one ?,LOC
On which NORP island is FAC ?,LOC
"What feathered cartoon characters do NORP know as GPE , PERSON , and Raja ?",HUM
What PERSON movie centers on a stolen painting ?,ENTY
What was unusual about ORG 's appearance in GPE and the Pussycats ?,DESC
What is the origin of the word `` mind '' ?,DESC
When was PERSON born ?,NUM
What game is fatal to anybody over DATE ?,ENTY
What is the death toll of people dying from tuberculosis ?,NUM
What happened to PERSON ?,DESC
What city is wiener schnitzel named for ?,LOC
What are the LOC ?,DESC
How can you stop the itch from poison ivy ?,DESC
What desert has the highest sand dunes ?,LOC
What CARDINAL countries contain ORG mountains ?,LOC
How do you tell your parents you are dating an older man ?,DESC
How long was the TV mission of ORG Enterprise to be ?,NUM
What phone number can I call to have a tree planted ?,NUM
When did PRODUCT become the national anthem ?,NUM
Who was PERSON ?,HUM
What are the CARDINAL natural aids used in riding a horse ?,ENTY
What continent 's name appears on the upper left corner of a ORG label ?,LOC
Who was the Secretary of War in EVENT during LOC ?,HUM
Who did PERSON beat to win the world chess championship ?,HUM
How do you exterminate bees that are in the walls of your home ? Will bee eggs remain over DATE ?,DESC
Where can I get information and statistics on countries and nations ?,LOC
Name a Gaelic language .,ENTY
What day is DATE ?,NUM
Where can I find a list of all the companies in GPE that offer a direct stock purchase plan ?,LOC
How do you send a movie transcript to GPE so that it can be produced into a film ?,DESC
"What literary classic centers on the search for a treasure in gold worth CARDINAL , QUANTITY ?",ENTY
What is the origin of blue for boys and pink for girls ?,DESC
What is the name of the PERSON painting that shows CARDINAL hands with fingers touching ?,ENTY
How big is a quart ?,NUM
What is the Hub of London ?,DESC
PERSON acted in which film ?,ENTY
What causes panic attacks ?,DESC
What was the filling in the ORDINAL golf balls ?,DESC
What drug did PERSON become fascinated with while experimenting with the treatment of GPE ?,ENTY
What country was WORK_OF_ART to PERSON ?,LOC
What is typhoid fever ?,DESC
Where can I buy a hat like the kind PERSON from GPE wears ?,LOC
What are the Twin Cities ?,DESC
What is PERSON 's ORDINAL symphony called ?,ENTY
Name the lawyer for PERSON .,HUM
Which breakfast cereal brought you `` the best each morning '' ?,ENTY
"What does ORG , PERSON , and Mrs. stand for ?",ABBR
What is the ORG home page ?,LOC
"What explosive do you get by mixing charcoal , sulfur and saltpeter ?",ENTY
What mountainous region of the world is ORG dog native to ?,LOC
What cancer is commonly associated with AIDS ?,ENTY
How long does it take light to reach the LOC from the Sun ?,NUM
Who lives at TIME ?,HUM
How many questions are on this thing ?,NUM
Who played Humpty Dumpty in the DATE film PRODUCT in GPE ?,HUM
"Who is PERSON , Al Gore 's oldest daughter , married to ?",HUM
Who played the title role in I Was a Teenage Werewolf ?,HUM
Why are there olives in martinis ?,DESC
In DATE did PERSON gain power of GPE ?,NUM
What year did ORG paint `` Beata Beatrix '' ?,NUM
What record company produced the DATE movie WORK_OF_ART ?,HUM
Where can I find information about touring the GPE ?,LOC
What did ORG PERSON play ?,ENTY
How many square feet is PERSON home ?,NUM
"What is the name of actor PERSON 's son , who starred in a modestly popular TV show during the late 1960's ?",HUM
What is the highest NORP numeral ?,DESC
What 's the most popular form of bridge ?,ENTY
Who was the inventor of the stove ?,HUM
What comedian has a legendary reputation for stealing jokes ?,HUM
Where can I find information on the cyclone that hit GPE on DATE ?,LOC
EVENT is celebrated on what date ?,NUM
What are the ORDINAL CARDINAL amendements passed ?,ENTY
What is another term for the painful wrist syndrome ?,ENTY
What 's the difference between sleet and freezing rain ?,DESC
How is the new ORG engine ?,DESC
Who was the king who was forced to agree to ORG ?,HUM
Who was made the ORDINAL honorary citizen of the GPE ?,HUM
What game is PERSON really good at ?,ENTY
Where was PERSON when Gerald Ford became president ?,LOC
Where does the GPE rank among world countries in area ?,NUM
What novel did PERSON introduce James Bond in ?,ENTY
What was the target rate for CARDINAL growth in DATE ?,NUM
What baseball team was routinely called `` dem bums '' by its frustrated fans ?,HUM
Name of scholar on whose literal translations from the NORP and Japanese PERSON depended ?,HUM
When did GPE begin turning the Gaza Strip and Jericho over to the ORG ?,NUM
What are the major differences in the NORP and Methodist religions ?,DESC
Name the On Stage character whose face was never seen .,HUM
How much energy is released when oxygen and hydrogen mix ?,NUM
What is the best Internet business to go into ?,HUM
What does PERSON mean ?,DESC
Who is known as `` the world 's oldest teenager '' ?,HUM
What are the largest breweries in the world ?,LOC
What does GPE mean ?,DESC
What does the word `` meta '' mean ?,DESC
What keeps clouds in the air ?,ENTY
What 's the term for any CARDINAL-sided figure ?,ENTY
PERSON plays which instrument ?,ENTY
What country and western singer is known as ORG ?,LOC
What building appropriately enough is depicted on the back of the QUANTITY bill ?,LOC
What is graduate school ?,DESC
What is the difference between GPE-style and Chicago-style pizza ?,DESC
What baseball team owner and sailor is known as WORK_OF_ART ?,HUM
What type of betting is used in horse racing ?,ENTY
What kind of hat does PERSON wear ?,ENTY
Who was with PERSON TIME she was kidnaped ?,HUM
What is the Viking Prince 's ORDINAL name ?,HUM
What does the abbreviation cwt. ?,ABBR
In what deodorant commercial did tenants have adjoining medicine cabinets ?,ENTY
Where is ORG located ?,LOC
What boxer 's life story is titled ORG ?,HUM
For what reason did some GPE schools stop serving apples ?,DESC
Who advised listeners to `` see the U.S.A. in your ORG '' ?,HUM
Where was the ORDINAL restaurant ?,LOC
Where can I find full written draft of CTBT ?,LOC
How many horses died during the civil war ?,NUM
How much waste does an average dairy cow produce in DATE ?,NUM
What WORK_OF_ART laureate was expelled from the GPE before the conference on East Timor ?,HUM
"What woman has carried the most multiple births , twins , triplets , etc. , ?",HUM
How many minutes were there on the original ORG clock ?,NUM
What is the average time it takes for a male to ejaculate ?,NUM
What is website of ORG ?,LOC
Where are CARDINAL of the 10 highest mountains in the world ?,LOC
Where can I look at a perpetual calendar ?,LOC
How many astronauts have been on the moon ?,NUM
In DATE did the PERSON mutiny happen ?,NUM
What is the only substance that gives food its `` taste '' when eaten ?,ENTY
How do you reference a website ?,DESC
What is pandoro ?,DESC
What do the letters ZIP stand for in the phrase `` ZIP code '' ?,ABBR
PERSON king was restored to the NORP throne during ORG 's abdication ?,HUM
What is one of the cities that ORG is located in ?,LOC
What are the words to `` My Way '' written by PERSON ?,DESC
How do I install a tile floor ?,DESC
What is the quickest and easiest way to get nail polish out of clothes ?,ENTY
Why was the zipper invented ?,DESC
What 's the No. CARDINAL killer in industrialized countries ?,ENTY
Name CARDINAL famous cartoon cats .,ENTY
What daughter of GPE and PERSON became queen of England ?,HUM
How did ` stat ' come to be used as an expression for quickly ?,DESC
What 's the most common nickname of GPE college football teams ?,HUM
What 's the distinction of ORG Justice PERSON ?,DESC
What is the most useful site on the Internet ?,LOC
What is the world 's highest peak ?,LOC
What was a Mae West on a EVENT battleship ?,DESC
Define cosmology .,DESC
What comedienne upstaged Dwight D. Eisenhower 's ORDINAL inauguration by giving birth to her ORDINAL child ?,HUM
What are amicable numbers ?,DESC
When were EVENT in which ORG became popular played ?,NUM
"Where is FAC , built by publisher PERSON ?",LOC
What 's the largest GPE city on LOC ?,LOC
Who sang about PERSON and Molly Jones ?,HUM
"What magazine gives us the cream , not the skim ?",ENTY
What does the technique called `` cold fusion '' produce ?,ENTY
What costume designer decided that PERSON should only wear one glove ?,HUM
"What PERSON did Shakespeare use in writing : `` To be , or not to be , that is the question.. . '' ?",ENTY
How many rows of sprocket holes does a roll of CARDINAL-millimeter film have ?,NUM
What is the goat population of the world ?,NUM
What company was the original sponsor of TV 's PRODUCT ?,HUM
What term does a NORP use to describe a Pole ?,ENTY
What sea separates GPE and Algiers ?,LOC
How many lawyers are there in the state of GPE ?,NUM
What are the most common elements in seawater ?,ENTY
Describe the NORP music personality PERSON 's appearance .,DESC
What is the origin of the ethnic category `` caucasian '' ?,DESC
What is a stratocaster ?,DESC
What kind of science is cosmology ?,ENTY
Name the blind sculptress in love with the Fantastic Four 's Thing .,HUM
What 's the ORDINAL-lightest element ?,ENTY
What do you call a `` twirl '' in ballet ?,ENTY
What is the brand name of daminozide ?,ENTY
What is the former name of GPE ?,ENTY
ORG superstar told his story in LOC ?,HUM
What animals did The Amazing CARDINAL masquerade as ?,ENTY
How did the bikini bathing suite get its name ?,DESC
When did ORG get his ORDINAL patent for the pull-tab can ?,NUM
How many games are played in a CARDINAL-team round-robin tournament ?,NUM
Who developed the ORDINAL polio vaccine ?,HUM
Who made the ORDINAL gas engine ?,HUM
What country claimed ORG and GPE as citizens ?,LOC
What civil war was fought DATE ?,ENTY
How many questions do you have on your database ?,NUM
How do clouds form ?,DESC
Where can I find examples of legal cases about ORG ?,LOC
What character did PERSON ORDINAL create upon arriving at ORG ?,HUM
When was the Triangle Shirtwaist fire ?,NUM
What NORP spiritual and political leader was married at DATE ?,HUM
Where is PERSON ?,LOC
What is the CARDINAL-life of PRODUCT ?,DESC
What ocean does GPE border ?,LOC
Why do pressure cookers save time in the kitchen ?,DESC
Why are there CARDINAL people on a jury in criminal cases ?,DESC
What do NORP Scientists believe in ?,DESC
"What EVENT I battle saw CARDINAL , 0 troops killed in DATE ?",ENTY
What country is GPE a part of ?,LOC
Tell me what city the GPE Horse Park is near ?,LOC
What computer operating system is on the most computers ?,ENTY
What is PERSON email address ?,LOC
What is the economic impact of unemployment on the economy ?,DESC
"What do the letters GPE stand for in Washington , GPE ?",ABBR
What animals can live the longest without food ?,ENTY
What LANGUAGE queen had CARDINAL children ?,HUM
"What is the approximate population of GPE , N.M ?",NUM
How much does the President get paid ?,NUM
What CARDINAL baseball players make up the battery ?,HUM
What 's the largest letter in PERSON signature ?,ENTY
What does an irate car owner call iron oxide ?,ENTY
"Of children DATE , what percentage watch WORK_OF_ART '' ?",NUM
What 's the northernmost GPE state apart from Alaska ?,LOC
Name an art gallery in GPE .,LOC
Who sells PERSON ?,HUM
What musical instrument did PERSON play in James Jones 's From Here to Eternity ?,ENTY
What is LAW ?,DESC
What building are NORP monarchs crowned in ?,LOC
What are PERSON ?,DESC
Who was Darius ?,HUM
What movie told of PERSON claim to be a NORP czar 's daughter ?,ENTY
Who did PERSON work for ?,HUM
What kind of creature is a coot ?,ENTY
Name ORG which PERSON was president .,HUM
"What country was ORDINAL to use the airplane as a weapon of war , against the NORP in GPE ?",LOC
What university was PERSON President of ?,HUM
What is a fear of disease ?,ENTY
What kind of meat is PERSON synonymous with ?,ENTY
What did Mr. PERSON flog on TV for ORG ?,ENTY
What are the words to the NORP National anthem ?,DESC
What is the name of the NORP alphabet ?,ENTY
Who served as inspiration for the schoolteacher portrayed by PERSON in `` Dead Poets Society '' ?,HUM
What is ORG phone number ?,NUM
Name the CARDINAL positions who are in the line of succession to the presidency .,HUM
Which CARDINAL of the original seven ORG program astronauts did not fly on any of the ORG flights ?,HUM
Who is the best known villain of the CARDINAL Gunpowder Plot ?,HUM
What is the capital of ORG ?,LOC
What continent is GPE on ?,LOC
Why was PERSON stripped of his title and barred from boxing in DATE ?,DESC
"Who killed more people , PERSON or Stalin ?",HUM
What caused ORG to close their GPE office ?,DESC
What 's the only mammal that can 't jump ?,ENTY
What GPE state has the most blondes ?,LOC
What war saw battles at GPE 's Beak and Black Virgin ?,ENTY
What was the GPE highway death toll in DATE ?,NUM
What does the name PERSON mean ?,DESC
What is a phalanx ?,DESC
What mustachioed comedian portrayed GPE in North to Alaska ?,HUM
What does each of the utilities cost in GPE ?,NUM
"What actor and EVENT airman had a $MONEY , CARDINAL bounty put on his head by PERSON ?",HUM
What does e.g. stand for ?,ABBR
What is the name of the medical condition in which a baby is born without a brain ?,ENTY
How do storms form ?,DESC
Who is PERSON ?,HUM
What city is often called ORG ?,LOC
What are the CARDINAL animals in PERSON ORG ?,ENTY
Who portrayed PERSON in Hammer Studios ' films ?,HUM
Name CARDINAL of the Seven Wonders of ORG .,ENTY
When were fish ORDINAL believed to be found on earth ?,NUM
"What President 's favorite ORG quotation was : `` Come now , and let us reason together '' .",HUM
How many elevators do you ride to reach the top floor of GPE ?,NUM
Name the food company that traveled to NORP GPE to film a series of ads .,HUM
What country was Sir PERSON born in ?,LOC
What 's an infant seal called ?,ENTY
"What was the proper Laugh-In respones to : `` Say goodnight , PERSON '' ?",DESC
What city was PERSON nominated for president in ?,LOC
How long does a dog sleep ?,NUM
What DATE PERSON film cost MONEY ?,ENTY
What NORP electronics company was named for a coastal city northeast of GPE ?,HUM
What can you be fined for having a dog on a beach ?,NUM
Where did the Battle of the Bulge take place ?,LOC
How much will the GPE be in DATE ?,NUM
"What mystery writer penned `` ...the glory that was GPE , and the grandeur that was Rome '' ?",HUM
What state full of milk and honey was the destination in WORK_OF_ART ?,LOC
What is the tallest building in GPE ?,LOC
Where is ORG headquarters ?,LOC
PERSONl ORG 's favorite NORP drink .,ENTY
What are some important events of the DATE 's ?,ENTY
The NORP launched their attack on GPE on what day ?,NUM
What letter adorns the flag of GPE ?,ENTY
"What did DATE , CD PERSON POS NN .",ENTY
What is God ?,DESC
What country 's northernmost city is PERSON ?,LOC
"What sound does GPE , Washington , overlook ?",LOC
What TV show chronicled the lives of PERSON and Congressman Glen Morley ?,ENTY
What GPE city calls itself ORG ?,LOC
How many penny-farthings are there on a ORG game board ?,NUM
What 's the most abundant element in the sun ?,ENTY
"What NORP country boasts the city of GPE , found where the rivers PERSON and ORG converge ?",LOC
What GPE state is PERSON in ?,LOC
"Where was GPE , DATE , ?",LOC
What is the largest shopping mall in the world ?,LOC
What is the protagonist 's name in PERSON 's `` WORK_OF_ART ?,HUM
What penalty space lies between FAC and Reading Railroad on a GPE board ?,ENTY
What presidential press secretary dismissed EVENT as a ORDINAL-rate burglary attempt ?,HUM
What is a meerkat ?,DESC
Who was PERSON ?,HUM
What kind of animal was NORP the Pooh ?,ENTY
Which of these are authors ?,HUM
What 's the international radio code word for the letter B ?,ENTY
Who was the original Humpty Dumpty ?,HUM
What is cache memory ?,DESC
WORK_OF_ART is also known as what ?,ENTY
Where is the location of LOC ?,LOC
When is President PERSON 's birthday ?,NUM
"What is the origin of the midwest slang , ` you 're darn tootin ' ?",DESC
Whose cupboard was bare ?,HUM
What are the CARDINAL seas ?,LOC
What does ORG stand for ?,ABBR
What is the difference between jazz and blues ?,DESC
What is the C programming language ?,DESC
What 's the name of GPE 's adopted son ?,HUM
Who invented the vacuum cleaner ?,HUM
What is a ` borrow pit ' ?,DESC
What DATE fictional character attends ORG ?,HUM
How many people in the GPE say their number CARDINAL source of information is the newspaper ?,NUM
"Who does PERSON 's Antonio borrow CARDINAL , 0 ducats from ?",HUM
Which country is known as ORG ?,LOC
"What `` melts in your mouth , not in your hands '' .",ENTY
How many times a day should you take a prescription marked `` q.i.d . '' ?,NUM
What is the origin of the atom ?,DESC
Who is the PRODUCT project manager ?,HUM
Which radio stations air ORG ?,HUM
What CARDINAL commanders directed the forces in LOC ?,HUM
Name the creator of `` WORK_OF_ART .,HUM
How do I e-mail someone at aol.com from yahoo.com ?,DESC
Who replies `` I know '' to ORG confession `` I love you '' in FAC ?,HUM
What is the meaning of the name ORG ?,DESC
What 's the home of the ORG ?,LOC
"Where can I find all the information I need to know about EVENT , DATE , ?",LOC
What is the name of the firm that makes PERSON ?,HUM
What sport is played on the largest field ?,ENTY
Who won ORG for Best Actor ?,HUM
What is after death ?,ENTY
Name the ORDINAL private citizen to fly in space .,HUM
What was football star PERSON nickname ?,HUM
What singer sings `` Oh Boy '' ?,HUM
How much pizza do NORP eat in a day ?,NUM
What is the website for ORG ?,LOC
What army 's motto is FAC ?,HUM
What kind of patent did ORG get in DATE ?,ENTY
What are you hearing when you put a seashell to your ear ?,DESC
Why are haunted houses popular ?,DESC
Which gender has bigger thighs ?,ENTY
What GPE state has the ORDINAL-longest coastline ?,LOC
What state 's home to ORG ?,LOC
How fast do cheetahs run ?,NUM
What is PERSON illustrated man illustrated with ?,ENTY
How fast is a CARDINAL processor ?,NUM
What kind of puzzle ORDINAL appeared in the GPE in ORG on DATE ?,ENTY
What count did PERSON write about ?,HUM
What are the odds of giving birth to twins ?,NUM
What is the largest natural lake in GPE ?,LOC
How far is GPE UK from California ?,NUM
Name the CARDINAL mystical ravens ORG has at his command .,ENTY
What was the species of ORG ?,ENTY
What is the virus HIV ?,DESC
How many years old is PERSON ?,NUM
What PERSON book gave its name to a rock group ?,ENTY
Where does ORG begin and end ?,LOC
What book is the follow-up to Future Shock ?,ENTY
What NORP animals are known as The Big Five ?,ENTY
What is the alphabet for LANGUAGE ?,ENTY
What is the fear of frogs ?,ENTY
Which city in GPE is the least-populated ?,LOC
How old is PERSON ?,NUM
Who was the ORDINAL NORP President ?,HUM
Who is PERSON father ?,HUM
What does a dipsomaniac crave ?,ENTY
What is the definition of the term `` weapons system '' ?,DESC
What are PERSON and Shakespeare 's literary contributions to LANGUAGE literature ?,DESC
What is ORG favorite drink during office hours ?,ENTY
What is the ORDINAL personal computer company ?,HUM
What is the most efficient way to start a barbeque ?,ENTY
Who was PERSON ?,HUM
Why are there GPE things on the ORG machines that people drive through ?,DESC
Where is GPE ?,LOC
What book did PERSON write ?,ENTY
What was the death toll at the eruption of LOC ?,NUM
When will the millennium officially begin ?,NUM
"Who created the comic strip , `` PERSON '' ?",HUM
Which NORP terrorist is now a ORG delegate in Doonesbury ?,HUM
What is real time processing ?,DESC
What do we call the imaginary line along the top of LOC ?,LOC
What country 's capital is GPE ?,LOC
Where does PERSON Chronicles take place ?,LOC
Who is the current prime minister and president of GPE ?,HUM
Who established a Viking colony in GPE CARDINAL ?,HUM
What was the distinguishing mark on PRODUCT dog ?,ENTY
"What is the latitude and longitude of GPE , Texas ?",NUM
Where can I get information about cystic fibrosis ?,LOC
Where did PERSON rule ?,LOC
What is the theory of equivalence states ?,DESC
What does a philatelist collect ?,ENTY
What is the life span of the average monkey ?,NUM
How many member states are in the ORG ?,NUM
Who shot and killed himself while painting GPE with PERSON ?,HUM
What will happen when sodium is put in water ?,DESC
What 's the meaning of ORG ?,DESC
What future President became ORG majority whip under PERSON ?,HUM
Who was the architect of LOC ?,HUM
Which operating system runs on ORG-compatible machines ?,ENTY
What are the dimensions of an ice hockey goal ?,NUM
When was ORG 's ORDINAL broadcast ?,NUM
What are the signs of a country going into a recession ?,ENTY
What is the circumorbital hematoma ?,DESC
What NORP country is governed from GPE ?,LOC
What was the NORP name of the title character in Our Miss PERSON ?,HUM
What hard-of hearing artist painted Sunflowers ?,HUM
Who were the ORG 's frequent enemies ?,HUM
Who wrote ORG ?,HUM
What is the NORP translation for the word `` caliente '' ?,ENTY
What handicraft requires you to interlace your warp and weft ?,ENTY
What NORP seaport claims to be ORG ?,LOC
How long does it take sunlight to reach LOC ?,NUM
How many milliORDINALs in a ORDINAL ?,NUM
What Cherokee NORP gave his name to a tree ?,HUM
When were camcorders introduced in GPE ?,NUM
What is the chance of conceiving quadruplets ?,NUM
Who was the star of PERSON FAC ?,HUM
